treatment,batch_id,group_id,round_index,offer,decision,rejected,fairness,efficiency
constant,batch-0616,1,1,5,accept,False,1.0,10.0
constant,batch-0616,1,2,5,accept,False,1.0,10.0
constant,batch-0616,1,3,3,accept,False,0.42857142857142855,10.0
constant,batch-0616,1,4,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,1,5,2,reject,True,,0.0
constant,batch-0616,1,6,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,1,7,3,reject,True,,0.0
constant,batch-0616,1,8,3,reject,True,,0.0
constant,batch-0616,1,9,5,accept,False,1.0,10.0
constant,batch-0616,1,10,5,accept,False,1.0,10.0
constant,batch-0616,1,11,5,accept,False,1.0,10.0
constant,batch-0616,1,12,5,accept,False,1.0,10.0
constant,batch-0616,1,13,5,accept,False,1.0,10.0
constant,batch-0616,1,14,5,accept,False,1.0,10.0
constant,batch-0616,1,15,5,accept,False,1.0,10.0
constant,batch-0616,1,16,5,accept,False,1.0,10.0
constant,batch-0616,1,17,5,accept,False,1.0,10.0
constant,batch-0616,1,18,5,accept,False,1.0,10.0
constant,batch-0616,1,19,5,accept,False,1.0,10.0
constant,batch-0616,1,20,5,accept,False,1.0,10.0
constant,batch-0616,1,21,5,accept,False,1.0,10.0
constant,batch-0616,1,22,5,accept,False,1.0,10.0
constant,batch-0616,1,23,5,accept,False,1.0,10.0
constant,batch-0616,1,24,5,accept,False,1.0,10.0
constant,batch-0616,1,25,5,accept,False,1.0,10.0
constant,batch-0616,3,1,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,2,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,3,2,reject,True,,0.0
constant,batch-0616,3,4,3,reject,True,,0.0
constant,batch-0616,3,5,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,6,3,reject,True,,0.0
constant,batch-0616,3,7,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,8,4,accept,False,0.6666666666666666,10.0
