_initial_assets,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,contents,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,performance_reward,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,progress_before_trial,progress_after_trial,async_post_trial_required,async_post_trial_requested,async_post_trial_complete,async_post_trial_failed,block_position,block,class,object_type,flow,transition,target_participant_id,group_id,round_index,counted_rounds,rounds_required,status,role,roles,offer,decision,deadline,feedback_until,last_round,total_score,totals,timeout_count,max_timeouts,completion_reason,coin_value_dollars,batch_id,treatment
{},{},19,2026-06-16 21:17:22,False,,,GameTrial,46,46,,True,46,2,10,ultimatum_trial_maker,"{""flow"": ""live_websocket"", ""transition"": ""constant""}",True,False,0.0,0.0,,"{""type"": ""state_update"", ""target_participant_id"": 2, ""group_id"": 1, ""participant_id"": 2, ""round_index"": 25, ""counted_rounds"": 25, ""rounds_required"": 25, ""status"": ""complete"", ""role"": ""proposer"", ""roles"": {""2"": ""proposer"", ""4"": ""responder""}, ""offer"": 5, ""decision"": ""accept"", ""deadline"": null, ""feedback_until"": null, ""last_round"": {""round_index"": 25, ""skipped"": false, ""roles"": {""2"": ""proposer"", ""4"": ""responder""}, ""offer"": 5, ""decision"": ""accept"", ""payoffs"": {""2"": 5, ""4"": 5}, ""totals"": {""2"": 114, ""4"": 106}}, ""total_score"": 114, ""totals"": {""2"": 114, ""4"": 106}, ""timeout_count"": 0, ""max_timeouts"": 5, ""completion_reason"": ""Completed all counted rounds."", ""coin_value_dollars"": 0.005}",True,47,,,254.513,188.0,813.0,625.0,0.2712707182320442,0.961878453038674,False,False,False,False,0,default,GameTrial,Info,live_websocket,constant,2.0,1.0,25.0,25.0,25.0,complete,proposer,"{""2"": ""proposer"", ""4"": ""responder""}",5.0,accept,,,"{""round_index"": 25, ""skipped"": false, ""roles"": {""2"": ""proposer"", ""4"": ""responder""}, ""offer"": 5, ""decision"": ""accept"", ""payoffs"": {""2"": 5, ""4"": 5}, ""totals"": {""2"": 114, ""4"": 106}}",114.0,"{""2"": 114, ""4"": 106}",0.0,5.0,Completed all counted rounds.,0.005,batch-0616,constant
{},{},20,2026-06-16 21:17:22,False,,,GameTrial,46,46,,True,46,4,9,ultimatum_trial_maker,"{""flow"": ""live_websocket"", ""transition"": ""constant""}",True,False,0.0,0.0,,"{""type"": ""state_update"", ""target_participant_id"": 4, ""group_id"": 1, ""participant_id"": 4, ""round_index"": 25, ""counted_rounds"": 25, ""rounds_required"": 25, ""status"": ""complete"", ""role"": ""responder"", ""roles"": {""2"": ""proposer"", ""4"": ""responder""}, ""offer"": 5, ""decision"": ""accept"", ""deadline"": null, ""feedback_until"": null, ""last_round"": {""round_index"": 25, ""skipped"": false, ""roles"": {""2"": ""proposer"", ""4"": ""responder""}, ""offer"": 5, ""decision"": ""accept"", ""payoffs"": {""2"": 5, ""4"": 5}, ""totals"": {""2"": 114, ""4"": 106}}, ""total_score"": 106, ""totals"": {""2"": 114, ""4"": 106}, ""timeout_count"": 0, ""max_timeouts"": 5, ""completion_reason"": ""Completed all counted rounds."", ""coin_value_dollars"": 0.005}",True,48,,,253.231,159.0,784.0,625.0,0.2712707182320442,0.961878453038674,False,False,False,False,0,default,GameTrial,Info,live_websocket,constant,4.0,1.0,25.0,25.0,25.0,complete,responder,"{""2"": ""proposer"", ""4"": ""responder""}",5.0,accept,,,"{""round_index"": 25, ""skipped"": false, ""roles"": {""2"": ""proposer"", ""4"": ""responder""}, ""offer"": 5, ""decision"": ""accept"", ""payoffs"": {""2"": 5, ""4"": 5}, ""totals"": {""2"": 114, ""4"": 106}}",106.0,"{""2"": 114, ""4"": 106}",0.0,5.0,Completed all counted rounds.,0.005,batch-0616,constant
{},{},23,2026-06-16 21:18:36,True,response_timeout,2026-06-16 21:24:10,GameTrial,47,47,,True,47,5,14,ultimatum_trial_maker,"{""flow"": ""live_websocket"", ""transition"": ""constant""}",False,False,,,,"{""type"": ""state_update"", ""target_participant_id"": 5, ""group_id"": 2, ""participant_id"": 5, ""round_index"": 25, ""counted_rounds"": 25, ""rounds_required"": 25, ""status"": ""complete"", ""role"": ""responder"", ""roles"": {""3"": ""proposer"", ""5"": ""responder""}, ""offer"": 4, ""decision"": ""accept"", ""deadline"": null, ""feedback_until"": null, ""last_round"": {""round_index"": 25, ""skipped"": false, ""roles"": {""3"": ""proposer"", ""5"": ""responder""}, ""offer"": 4, ""decision"": ""accept"", ""payoffs"": {""3"": 6, ""5"": 4}, ""totals"": {""3"": 96, ""5"": 94}}, ""total_score"": 94, ""totals"": {""3"": 96, ""5"": 94}, ""timeout_count"": 0, ""max_timeouts"": 5, ""completion_reason"": ""Completed all counted rounds."", ""coin_value_dollars"": 0.005}",True,115,,,417.722,158.0,783.0,625.0,0.2712707182320442,0.961878453038674,False,False,False,False,0,default,GameTrial,Info,live_websocket,constant,5.0,2.0,25.0,25.0,25.0,complete,responder,"{""3"": ""proposer"", ""5"": ""responder""}",4.0,accept,,,"{""round_index"": 25, ""skipped"": false, ""roles"": {""3"": ""proposer"", ""5"": ""responder""}, ""offer"": 4, ""decision"": ""accept"", ""payoffs"": {""3"": 6, ""5"": 4}, ""totals"": {""3"": 96, ""5"": 94}}",94.0,"{""3"": 96, ""5"": 94}",0.0,5.0,Completed all counted rounds.,0.005,batch-0616,constant
{},{},24,2026-06-16 21:18:36,True,response_timeout,2026-06-16 21:24:10,GameTrial,47,47,,True,47,3,13,ultimatum_trial_maker,"{""flow"": ""live_websocket"", ""transition"": ""constant""}",False,False,,,,"{""type"": ""state_update"", ""target_participant_id"": 3, ""group_id"": 2, ""participant_id"": 3, ""round_index"": 25, ""counted_rounds"": 25, ""rounds_required"": 25, ""status"": ""complete"", ""role"": ""proposer"", ""roles"": {""3"": ""proposer"", ""5"": ""responder""}, ""offer"": 4, ""decision"": ""accept"", ""deadline"": null, ""feedback_until"": null, ""last_round"": {""round_index"": 25, ""skipped"": false, ""roles"": {""3"": ""proposer"", ""5"": ""responder""}, ""offer"": 4, ""decision"": ""accept"", ""payoffs"": {""3"": 6, ""5"": 4}, ""totals"": {""3"": 96, ""5"": 94}}, ""total_score"": 96, ""totals"": {""3"": 96, ""5"": 94}, ""timeout_count"": 0, ""max_timeouts"": 5, ""completion_reason"": ""Completed all counted rounds."", ""coin_value_dollars"": 0.005}",True,116,,,415.283,159.0,784.0,625.0,0.2712707182320442,0.961878453038674,False,False,False,False,0,default,GameTrial,Info,live_websocket,constant,3.0,2.0,25.0,25.0,25.0,complete,proposer,"{""3"": ""proposer"", ""5"": ""responder""}",4.0,accept,,,"{""round_index"": 25, ""skipped"": false, ""roles"": {""3"": ""proposer"", ""5"": ""responder""}, ""offer"": 4, ""decision"": ""accept"", ""payoffs"": {""3"": 6, ""5"": 4}, ""totals"": {""3"": 96, ""5"": 94}}",96.0,"{""3"": 96, ""5"": 94}",0.0,5.0,Completed all counted rounds.,0.005,batch-0616,constant
{},{},54,2026-06-16 21:23:30,False,,,GameTrial,49,48,,True,49,7,24,ultimatum_trial_maker,"{""flow"": ""live_websocket"", ""transition"": ""constant""}",True,False,0.0,0.0,,"{""type"": ""state_update"", ""target_participant_id"": 7, ""group_id"": 3, ""participant_id"": 7, ""round_index"": 25, ""counted_rounds"": 25, ""rounds_required"": 25, ""status"": ""complete"", ""role"": ""proposer"", ""roles"": {""6"": ""responder"", ""7"": ""proposer""}, ""offer"": 3, ""decision"": ""reject"", ""deadline"": null, ""feedback_until"": null, ""last_round"": {""round_index"": 25, ""skipped"": false, ""roles"": {""6"": ""responder"", ""7"": ""proposer""}, ""offer"": 3, ""decision"": ""reject"", ""payoffs"": {""6"": 0, ""7"": 0}, ""totals"": {""6"": 78, ""7"": 112}}, ""total_score"": 112, ""totals"": {""6"": 78, ""7"": 112}, ""timeout_count"": 0, ""max_timeouts"": 5, ""completion_reason"": ""Completed all counted rounds."", ""coin_value_dollars"": 0.005}",True,133,,,234.643,158.0,783.0,625.0,0.2712707182320442,0.961878453038674,False,False,False,False,0,default,GameTrial,Info,live_websocket,constant,7.0,3.0,25.0,25.0,25.0,complete,proposer,"{""6"": ""responder"", ""7"": ""proposer""}",3.0,reject,,,"{""round_index"": 25, ""skipped"": false, ""roles"": {""6"": ""responder"", ""7"": ""proposer""}, ""offer"": 3, ""decision"": ""reject"", ""payoffs"": {""6"": 0, ""7"": 0}, ""totals"": {""6"": 78, ""7"": 112}}",112.0,"{""6"": 78, ""7"": 112}",0.0,5.0,Completed all counted rounds.,0.005,batch-0616,constant
{},{},55,2026-06-16 21:23:30,False,,,GameTrial,49,48,,True,49,6,23,ultimatum_trial_maker,"{""flow"": ""live_websocket"", ""transition"": ""constant""}",True,False,0.0,0.0,,"{""type"": ""state_update"", ""target_participant_id"": 6, ""group_id"": 3, ""participant_id"": 6, ""round_index"": 25, ""counted_rounds"": 25, ""rounds_required"": 25, ""status"": ""complete"", ""role"": ""responder"", ""roles"": {""6"": ""responder"", ""7"": ""proposer""}, ""offer"": 3, ""decision"": ""reject"", ""deadline"": null, ""feedback_until"": null, ""last_round"": {""round_index"": 25, ""skipped"": false, ""roles"": {""6"": ""responder"", ""7"": ""proposer""}, ""offer"": 3, ""decision"": ""reject"", ""payoffs"": {""6"": 0, ""7"": 0}, ""totals"": {""6"": 78, ""7"": 112}}, ""total_score"": 78, ""totals"": {""6"": 78, ""7"": 112}, ""timeout_count"": 0, ""max_timeouts"": 5, ""completion_reason"": ""Completed all counted rounds."", ""coin_value_dollars"": 0.005}",True,132,,,236.703,518.0,1143.0,625.0,0.2712707182320442,0.961878453038674,False,False,False,False,0,default,GameTrial,Info,live_websocket,constant,6.0,3.0,25.0,25.0,25.0,complete,responder,"{""6"": ""responder"", ""7"": ""proposer""}",3.0,reject,,,"{""round_index"": 25, ""skipped"": false, ""roles"": {""6"": ""responder"", ""7"": ""proposer""}, ""offer"": 3, ""decision"": ""reject"", ""payoffs"": {""6"": 0, ""7"": 0}, ""totals"": {""6"": 78, ""7"": 112}}",78.0,"{""6"": 78, ""7"": 112}",0.0,5.0,Completed all counted rounds.,0.005,batch-0616,constant
{},{},73,2026-06-16 21:24:03,False,,,GameTrial,50,49,,True,50,10,29,ultimatum_trial_maker,"{""flow"": ""live_websocket"", ""transition"": ""constant""}",True,False,0.0,0.0,,"{""type"": ""state_update"", ""target_participant_id"": 10, ""group_id"": 4, ""participant_id"": 10, ""round_index"": 25, ""counted_rounds"": 25, ""rounds_required"": 25, ""status"": ""complete"", ""role"": ""proposer"", ""roles"": {""9"": ""responder"", ""10"": ""proposer""}, ""offer"": 5, ""decision"": ""accept"", ""deadline"": null, ""feedback_until"": null, ""last_round"": {""round_index"": 25, ""skipped"": false, ""roles"": {""9"": ""responder"", ""10"": ""proposer""}, ""offer"": 5, ""decision"": ""accept"", ""payoffs"": {""9"": 5, ""10"": 5}, ""totals"": {""9"": 79, ""10"": 91}}, ""total_score"": 91, ""totals"": {""9"": 79, ""10"": 91}, ""timeout_count"": 0, ""max_timeouts"": 5, ""completion_reason"": ""Completed all counted rounds."", ""coin_value_dollars"": 0.005}",True,145,,,241.314,158.0,783.0,625.0,0.2712707182320442,0.961878453038674,False,False,False,False,0,default,GameTrial,Info,live_websocket,constant,10.0,4.0,25.0,25.0,25.0,complete,proposer,"{""9"": ""responder"", ""10"": ""proposer""}",5.0,accept,,,"{""round_index"": 25, ""skipped"": false, ""roles"": {""9"": ""responder"", ""10"": ""proposer""}, ""offer"": 5, ""decision"": ""accept"", ""payoffs"": {""9"": 5, ""10"": 5}, ""totals"": {""9"": 79, ""10"": 91}}",91.0,"{""9"": 79, ""10"": 91}",0.0,5.0,Completed all counted rounds.,0.005,batch-0616,constant
{},{},74,2026-06-16 21:24:03,False,,,GameTrial,50,49,,True,50,9,28,ultimatum_trial_maker,"{""flow"": ""live_websocket"", ""transition"": ""constant""}",True,False,0.0,0.0,,"{""type"": ""state_update"", ""target_participant_id"": 9, ""group_id"": 4, ""participant_id"": 9, ""round_index"": 25, ""counted_rounds"": 25, ""rounds_required"": 25, ""status"": ""complete"", ""role"": ""responder"", ""roles"": {""9"": ""responder"", ""10"": ""proposer""}, ""offer"": 5, ""decision"": ""accept"", ""deadline"": null, ""feedback_until"": null, ""last_round"": {""round_index"": 25, ""skipped"": false, ""roles"": {""9"": ""responder"", ""10"": ""proposer""}, ""offer"": 5, ""decision"": ""accept"", ""payoffs"": {""9"": 5, ""10"": 5}, ""totals"": {""9"": 79, ""10"": 91}}, ""total_score"": 79, ""totals"": {""9"": 79, ""10"": 91}, ""timeout_count"": 0, ""max_timeouts"": 5, ""completion_reason"": ""Completed all counted rounds."", ""coin_value_dollars"": 0.005}",True,146,,,243.436,189.5,814.5,625.0,0.2712707182320442,0.961878453038674,False,False,False,False,0,default,GameTrial,Info,live_websocket,constant,9.0,4.0,25.0,25.0,25.0,complete,responder,"{""9"": ""responder"", ""10"": ""proposer""}",5.0,accept,,,"{""round_index"": 25, ""skipped"": false, ""roles"": {""9"": ""responder"", ""10"": ""proposer""}, ""offer"": 5, ""decision"": ""accept"", ""payoffs"": {""9"": 5, ""10"": 5}, ""totals"": {""9"": 79, ""10"": 91}}",79.0,"{""9"": 79, ""10"": 91}",0.0,5.0,Completed all counted rounds.,0.005,batch-0616,constant
{},{},95,2026-06-16 21:25:23,False,,,GameTrial,51,50,,True,51,8,32,ultimatum_trial_maker,"{""flow"": ""live_websocket"", ""transition"": ""constant""}",True,False,0.0,0.0,,"{""type"": ""state_update"", ""target_participant_id"": 8, ""group_id"": 5, ""participant_id"": 8, ""round_index"": 25, ""counted_rounds"": 25, ""rounds_required"": 25, ""status"": ""complete"", ""role"": ""proposer"", ""roles"": {""8"": ""proposer"", ""11"": ""responder""}, ""offer"": 4, ""decision"": ""accept"", ""deadline"": null, ""feedback_until"": null, ""last_round"": {""round_index"": 25, ""skipped"": false, ""roles"": {""8"": ""proposer"", ""11"": ""responder""}, ""offer"": 4, ""decision"": ""accept"", ""payoffs"": {""8"": 6, ""11"": 4}, ""totals"": {""8"": 126, ""11"": 124}}, ""total_score"": 126, ""totals"": {""8"": 126, ""11"": 124}, ""timeout_count"": 0, ""max_timeouts"": 5, ""completion_reason"": ""Completed all counted rounds."", ""coin_value_dollars"": 0.005}",True,176,,,249.967,278.5,903.5,625.0,0.2712707182320442,0.961878453038674,False,False,False,False,0,default,GameTrial,Info,live_websocket,constant,8.0,5.0,25.0,25.0,25.0,complete,proposer,"{""8"": ""proposer"", ""11"": ""responder""}",4.0,accept,,,"{""round_index"": 25, ""skipped"": false, ""roles"": {""8"": ""proposer"", ""11"": ""responder""}, ""offer"": 4, ""decision"": ""accept"", ""payoffs"": {""8"": 6, ""11"": 4}, ""totals"": {""8"": 126, ""11"": 124}}",126.0,"{""8"": 126, ""11"": 124}",0.0,5.0,Completed all counted rounds.,0.005,batch-0616,constant
{},{},96,2026-06-16 21:25:23,False,,,GameTrial,51,50,,True,51,11,34,ultimatum_trial_maker,"{""flow"": ""live_websocket"", ""transition"": ""constant""}",True,False,0.0,0.0,,"{""type"": ""state_update"", ""target_participant_id"": 11, ""group_id"": 5, ""participant_id"": 11, ""round_index"": 25, ""counted_rounds"": 25, ""rounds_required"": 25, ""status"": ""complete"", ""role"": ""responder"", ""roles"": {""8"": ""proposer"", ""11"": ""responder""}, ""offer"": 4, ""decision"": ""accept"", ""deadline"": null, ""feedback_until"": null, ""last_round"": {""round_index"": 25, ""skipped"": false, ""roles"": {""8"": ""proposer"", ""11"": ""responder""}, ""offer"": 4, ""decision"": ""accept"", ""payoffs"": {""8"": 6, ""11"": 4}, ""totals"": {""8"": 126, ""11"": 124}}, ""total_score"": 124, ""totals"": {""8"": 126, ""11"": 124}, ""timeout_count"": 0, ""max_timeouts"": 5, ""completion_reason"": ""Completed all counted rounds."", ""coin_value_dollars"": 0.005}",True,175,,,249.778,158.0,783.0,625.0,0.2712707182320442,0.961878453038674,False,False,False,False,0,default,GameTrial,Info,live_websocket,constant,11.0,5.0,25.0,25.0,25.0,complete,responder,"{""8"": ""proposer"", ""11"": ""responder""}",4.0,accept,,,"{""round_index"": 25, ""skipped"": false, ""roles"": {""8"": ""proposer"", ""11"": ""responder""}, ""offer"": 4, ""decision"": ""accept"", ""payoffs"": {""8"": 6, ""11"": 4}, ""totals"": {""8"": 126, ""11"": 124}}",124.0,"{""8"": 126, ""11"": 124}",0.0,5.0,Completed all counted rounds.,0.005,batch-0616,constant
