batch_id,participant_id,worker_id,lobby_index,target,attempts_to_target,time_taken,failed
batch-0617,1,5b16e1a5457ace0001b40d46,16,"{""row"": 1, ""col"": 2}",13,30.877999999999997,False
batch-0617,6,5a8f13595292b80001235e09,16,"{""row"": 1, ""col"": 2}",6,18.374,False
batch-0617,8,6a01df41373893c58f2011b5,16,"{""row"": 1, ""col"": 2}",4,15.07,False
batch-0617,8,6a01df41373893c58f2011b5,17,"{""row"": 2, ""col"": 1}",8,17.266,False
batch-0617,9,6990fd1cda959ba63e04c18c,16,"{""row"": 1, ""col"": 2}",12,14.904,False
batch-0617,9,6990fd1cda959ba63e04c18c,17,"{""row"": 2, ""col"": 1}",5,6.731,False
batch-0617,9,6990fd1cda959ba63e04c18c,18,"{""row"": 3, ""col"": 0}",11,9.487,False
batch-0617,9,6990fd1cda959ba63e04c18c,19,"{""row"": 3, ""col"": 7}",26,13.472,False
batch-0617,9,6990fd1cda959ba63e04c18c,20,"{""row"": 4, ""col"": 6}",8,6.551,False
batch-0617,9,6990fd1cda959ba63e04c18c,21,"{""row"": 5, ""col"": 5}",4,3.799,False
batch-0617,9,6990fd1cda959ba63e04c18c,22,"{""row"": 6, ""col"": 4}",7,16.807,False
batch-0617,13,66f63aeba07bb69cb2f44c32,16,"{""row"": 1, ""col"": 2}",9,24.523,False
batch-0617,16,677968daf8dc4ddeecc53a73,16,"{""row"": 1, ""col"": 2}",9,20.312,False
batch-0617,29,66ed6564eac280bcef718558,16,"{""row"": 1, ""col"": 2}",10,29.496,False
batch-0617,31,6328ddce9adceb215c2334ee,16,"{""row"": 1, ""col"": 2}",8,13.993,False
batch-0617,31,6328ddce9adceb215c2334ee,17,"{""row"": 2, ""col"": 1}",12,11.474,False
batch-0617,31,6328ddce9adceb215c2334ee,18,"{""row"": 3, ""col"": 0}",17,13.659,False
batch-0617,31,6328ddce9adceb215c2334ee,19,"{""row"": 3, ""col"": 7}",8,13.128,False
batch-0617,31,6328ddce9adceb215c2334ee,20,"{""row"": 4, ""col"": 6}",5,19.638,False
batch-0617,31,6328ddce9adceb215c2334ee,21,"{""row"": 5, ""col"": 5}",6,7.201,False
batch-0617,31,6328ddce9adceb215c2334ee,22,"{""row"": 6, ""col"": 4}",8,20.043,False
batch-0617,31,6328ddce9adceb215c2334ee,23,"{""row"": 7, ""col"": 3}",9,15.351,False
batch-0617,35,592ed8978ad1ae0001937919,16,"{""row"": 1, ""col"": 2}",13,28.926,False
batch-0617,35,592ed8978ad1ae0001937919,17,"{""row"": 2, ""col"": 1}",11,19.011,False
batch-0617,35,592ed8978ad1ae0001937919,18,"{""row"": 3, ""col"": 0}",7,22.170999999999996,False
batch-0617,46,6a1bc0fa1068dc20cdfb7c4a,16,"{""row"": 1, ""col"": 2}",56,122.394,False
