batch_id,participant_id,worker_id,lobby_trial_count,personality_trial_count,personality_answered_count,guessing_trial_count,guessing_completed_count
batch-0617,1,5b16e1a5457ace0001b40d46,16,15,15,1,1
batch-0617,2,69d5801af14cddbf0b60b59d,1,1,1,0,0
batch-0617,3,675a69d88d29359682bcd4ec,1,1,1,0,0
batch-0617,4,69c0ae59e7e1aabc3d03cc78,1,1,1,0,0
batch-0617,5,6629517257384969d8995d78,1,1,1,0,0
batch-0617,6,5a8f13595292b80001235e09,16,15,15,1,1
batch-0617,7,6a18e556695d00840058b827,1,1,1,0,0
batch-0617,8,6a01df41373893c58f2011b5,17,15,15,2,2
batch-0617,9,6990fd1cda959ba63e04c18c,22,15,15,7,7
batch-0617,10,5c2d187569ceff00011417de,1,1,1,0,0
batch-0617,11,6a1ed8c190f2a0c246377967,1,1,1,0,0
batch-0617,12,6989f01e85ed4cec632af20e,1,1,1,0,0
batch-0617,13,66f63aeba07bb69cb2f44c32,16,15,15,1,1
batch-0617,14,66ac140ffbe9e717e0d21357,1,1,1,0,0
batch-0617,15,699dc8a05e1d5b57041df5ed,1,1,1,0,0
batch-0617,16,677968daf8dc4ddeecc53a73,16,15,15,1,1
batch-0617,17,6839b6137cc1aa27ad7b85b7,1,1,1,0,0
batch-0617,18,6a07d95f9cfd61a15edd651a,1,1,1,0,0
batch-0617,19,69f7530aea946a81ffde1946,16,15,15,1,0
batch-0617,20,69e9901e1aaddb7fe0dde29c,16,15,15,1,0
batch-0617,21,5d546feb05470f001b8d1436,1,1,0,0,0
batch-0617,22,6a2217c8b85a2dd57bcb1b9d,1,1,1,0,0
batch-0617,23,6a05eca31c02cac37913a741,16,15,15,1,0
batch-0617,24,6102f2edaead0032c5054812,1,1,1,0,0
batch-0617,25,69c120916b02be8a9ca0abdf,16,15,15,1,0
batch-0617,26,698eec916caee248b2b996e5,1,1,1,0,0
batch-0617,27,5c3d504ede04ad0001d8be54,1,1,1,0,0
batch-0617,28,6a1961040cd48575d2c39dcf,1,1,0,0,0
batch-0617,29,66ed6564eac280bcef718558,16,15,15,1,1
batch-0617,30,6a05ceb70200dcfcb4481f24,1,1,1,0,0
batch-0617,31,6328ddce9adceb215c2334ee,23,15,15,8,8
batch-0617,32,6a1f1428e45929108dfbe979,1,1,1,0,0
batch-0617,33,6a14c6e637cb6a61eaa299b5,1,1,1,0,0
batch-0617,34,5b5a822e1ad8270001c4f28d,1,1,1,0,0
batch-0617,35,592ed8978ad1ae0001937919,18,15,15,3,3
batch-0617,36,6151e479b4ee16668948c7f2,1,1,1,0,0
batch-0617,38,663ff8ce62a847c71db3e8e6,16,15,15,1,0
batch-0617,39,675a4b75a5785e654a1c1005,1,1,0,0,0
batch-0617,40,665f930d862dcdc6bfde540e,1,1,1,0,0
batch-0617,41,67b8ac4a64ff597388f3fcc1,1,1,1,0,0
batch-0617,42,63b18d94775ad4aad221103c,1,1,0,0,0
batch-0617,43,682634b74da614d118d7990e,16,15,15,1,0
batch-0617,44,6a1da0a3e64785cfbc9670a5,16,15,15,1,0
batch-0617,45,67cf28a2280e7e75fbbacbff,1,1,0,0,0
batch-0617,46,6a1bc0fa1068dc20cdfb7c4a,16,15,15,1,1
