treatment,round_index,n_rounds,mean_offer,std_offer
constant,1,62,4.129032258064516,1.4313111147263131
constant,2,62,4.32258064516129,1.352280327281912
constant,3,62,4.354838709677419,1.4037043987723108
constant,4,62,4.306451612903226,1.2878843965712847
constant,5,62,4.516129032258065,1.2770603472893205
constant,6,62,4.564516129032258,1.4213935408943734
constant,7,62,4.564516129032258,1.3863617646049462
constant,8,62,4.629032258064516,1.1485396425103351
constant,9,62,4.451612903225806,1.4562180902557673
constant,10,62,4.790322580645161,1.415801884517416
constant,11,62,4.758064516129032,1.2891156438855353
constant,12,62,4.532258064516129,1.183461745390509
constant,13,62,4.516129032258065,1.0975671380020444
constant,14,62,4.806451612903226,0.9204188226539679
constant,15,62,4.903225806451613,1.1694145574568335
constant,16,62,4.67741935483871,1.5016296453354923
constant,17,62,4.67741935483871,1.098048844032698
constant,18,62,4.725806451612903,1.0270019208995984
constant,19,62,4.741935483870968,1.2666657389106606
constant,20,62,4.790322580645161,1.118211346547391
constant,21,62,4.758064516129032,1.41056300666416
constant,22,62,4.580645161290323,1.4320498559960022
constant,23,62,4.806451612903226,1.0687622636998517
constant,24,62,4.790322580645161,1.1892565079817043
constant,25,62,4.67741935483871,1.3154092244681768
random,1,55,4.5636363636363635,1.6528722067923258
random,2,55,4.781818181818182,1.3566149197189454
random,3,55,4.4363636363636365,1.1346991176263808
random,4,55,4.672727272727273,1.503755120117455
random,5,55,4.8545454545454545,1.3799917044595245
random,6,55,4.5636363636363635,1.3846197012796393
random,7,55,5.0181818181818185,1.446463235708358
random,8,55,5.0,1.575271875417536
random,9,55,4.545454545454546,1.5731330124142315
random,10,55,4.781818181818182,1.5598066011517688
random,11,55,4.6909090909090905,1.8745145274989772
random,12,55,4.945454545454545,1.6263818263611547
random,13,55,5.0181818181818185,1.6721123155935418
random,14,55,4.581818181818182,1.3836466725570207
random,15,55,4.7272727272727275,1.747533133840973
random,16,55,4.8,1.5916448515084434
random,17,55,4.909090909090909,1.7242575135587992
random,18,55,4.6909090909090905,1.7306895144092698
random,19,55,4.636363636363637,1.859546304320615
random,20,55,4.327272727272727,1.8564656329877607
random,21,55,4.472727272727273,1.4382930399215832
random,22,55,4.581818181818182,1.5950259383808605
random,23,55,4.636363636363637,1.7571403152685583
random,24,55,4.636363636363637,1.9279968146165898
random,25,55,4.672727272727273,2.1777880849065507
