treatment,batch_id,participant_id,group_id,rounds_played,accumulated_score,total_possible_score,score_ratio
constant,batch-0616,2,1.0,25,114.0,250,0.456
constant,batch-0616,4,1.0,25,106.0,250,0.424
constant,batch-0616,6,3.0,25,78.0,250,0.312
constant,batch-0616,7,3.0,25,112.0,250,0.448
constant,batch-0616,8,5.0,25,126.0,250,0.504
constant,batch-0616,9,4.0,25,79.0,250,0.316
constant,batch-0616,10,4.0,25,91.0,250,0.364
constant,batch-0616,11,5.0,25,124.0,250,0.496
constant,batch-0616,12,6.0,25,121.0,250,0.484
constant,batch-0616,13,7.0,25,125.0,250,0.5
constant,batch-0616,14,6.0,25,129.0,250,0.516
constant,batch-0616,15,7.0,25,125.0,250,0.5
constant,batch-0617,1,1.0,25,118.0,250,0.472
constant,batch-0617,2,1.0,25,92.0,250,0.368
constant,batch-0617,3,2.0,25,125.0,250,0.5
constant,batch-0617,4,4.0,25,64.0,250,0.256
constant,batch-0617,5,3.0,25,120.0,250,0.48
constant,batch-0617,6,3.0,25,120.0,250,0.48
constant,batch-0617,7,2.0,25,125.0,250,0.5
constant,batch-0617,8,5.0,25,115.0,250,0.46
constant,batch-0617,10,4.0,25,76.0,250,0.304
constant,batch-0617,11,5.0,25,115.0,250,0.46
constant,batch-0617,12,7.0,25,106.0,250,0.424
constant,batch-0617,13,6.0,25,125.0,250,0.5
constant,batch-0617,14,8.0,25,125.0,250,0.5
constant,batch-0617,15,6.0,25,125.0,250,0.5
constant,batch-0617,16,8.0,25,125.0,250,0.5
constant,batch-0617,18,7.0,25,104.0,250,0.416
constant,batch-0617,29,15.0,25,117.0,250,0.468
constant,batch-0617,30,15.0,25,53.0,250,0.212
constant,batch-0617,31,16.0,25,125.0,250,0.5
constant,batch-0617,32,16.0,25,125.0,250,0.5
constant,batch-061901,2,1.0,25,17.0,250,0.068
constant,batch-061901,4,1.0,25,53.0,250,0.212
constant,batch-061901,6,3.0,25,114.0,250,0.456
constant,batch-061901,9,3.0,25,116.0,250,0.464
constant,batch-061901,11,7.0,25,125.0,250,0.5
constant,batch-061901,12,6.0,25,125.0,250,0.5
constant,batch-061901,13,4.0,25,125.0,250,0.5
constant,batch-061901,14,5.0,25,115.0,250,0.46
constant,batch-061901,15,4.0,25,125.0,250,0.5
constant,batch-061901,16,5.0,25,125.0,250,0.5
constant,batch-061901,17,6.0,25,125.0,250,0.5
constant,batch-061901,18,8.0,25,105.0,250,0.42
constant,batch-061901,19,7.0,25,125.0,250,0.5
constant,batch-061901,20,8.0,25,105.0,250,0.42
constant,batch-061901,22,10.0,25,120.0,250,0.48
constant,batch-061901,23,10.0,25,120.0,250,0.48
constant,batch-061901,25,12.0,25,86.0,250,0.344
constant,batch-061901,26,11.0,25,53.0,250,0.212
constant,batch-061901,27,12.0,25,84.0,250,0.336
constant,batch-061901,31,11.0,25,117.0,250,0.468
constant,batch-061901,35,16.0,25,106.0,250,0.424
constant,batch-061901,37,16.0,25,114.0,250,0.456
constant,batch-061901,38,18.0,25,115.0,250,0.46
constant,batch-061901,40,19.0,25,127.0,250,0.508
constant,batch-061901,41,18.0,25,115.0,250,0.46
constant,batch-061901,43,20.0,25,120.0,250,0.48
constant,batch-061901,44,19.0,25,63.0,250,0.252
constant,batch-061901,45,20.0,25,120.0,250,0.48
constant,batch-061901,48,22.0,25,96.0,250,0.384
constant,batch-061901,49,22.0,25,144.0,250,0.576
constant,batch-061901,50,23.0,25,125.0,250,0.5
constant,batch-061901,51,24.0,25,101.0,250,0.404
constant,batch-061901,52,24.0,25,99.0,250,0.396
constant,batch-061901,53,23.0,25,125.0,250,0.5
constant,batch-061901,54,25.0,25,125.0,250,0.5
constant,batch-061901,55,25.0,25,125.0,250,0.5
constant,batch-061901,56,26.0,25,33.0,250,0.132
constant,batch-061901,58,26.0,25,37.0,250,0.148
random,batch-061702,2,1.0,25,122.0,250,0.488
random,batch-061702,3,2.0,25,66.0,250,0.264
random,batch-061702,5,1.0,25,128.0,250,0.512
random,batch-061702,6,2.0,25,74.0,250,0.296
random,batch-061702,8,4.0,25,83.0,250,0.332
random,batch-061702,9,4.0,25,87.0,250,0.348
random,batch-061702,10,5.0,25,125.0,250,0.5
random,batch-061702,11,5.0,25,125.0,250,0.5
random,batch-061702,17,8.0,25,124.0,250,0.496
random,batch-061702,18,8.0,25,126.0,250,0.504
random,batch-061702,19,11.0,25,29.0,250,0.116
random,batch-061702,20,10.0,25,165.0,250,0.66
random,batch-061702,21,10.0,25,85.0,250,0.34
random,batch-061702,22,9.0,25,120.0,250,0.48
random,batch-061702,23,9.0,25,70.0,250,0.28
random,batch-061702,24,11.0,25,21.0,250,0.084
random,batch-061702,25,12.0,25,125.0,250,0.5
random,batch-061702,26,12.0,25,125.0,250,0.5
random,batch-061702,27,13.0,25,125.0,250,0.5
random,batch-061702,28,13.0,25,125.0,250,0.5
random,batch-061702,29,16.0,25,139.0,250,0.556
random,batch-061702,30,14.0,25,119.0,250,0.476
random,batch-061702,31,15.0,25,130.0,250,0.52
random,batch-061702,32,14.0,25,121.0,250,0.484
random,batch-061702,33,15.0,25,120.0,250,0.48
random,batch-061702,34,16.0,25,81.0,250,0.324
random,batch-061702,35,18.0,25,125.0,250,0.5
random,batch-061702,37,18.0,25,125.0,250,0.5
random,batch-061702,41,20.0,25,120.0,250,0.48
random,batch-061702,43,20.0,25,120.0,250,0.48
random,batch-061702,44,21.0,25,115.0,250,0.46
random,batch-061702,45,21.0,25,115.0,250,0.46
random,batch-061702,46,22.0,25,75.0,250,0.3
random,batch-061702,47,22.0,25,75.0,250,0.3
random,batch-061702,48,23.0,25,129.0,250,0.516
random,batch-061702,49,23.0,25,121.0,250,0.484
random,batch-061702,50,24.0,25,125.0,250,0.5
random,batch-061702,51,24.0,25,125.0,250,0.5
random,batch-061702,54,26.0,25,88.0,250,0.352
random,batch-061702,55,28.0,25,120.0,250,0.48
random,batch-061702,56,27.0,25,125.0,250,0.5
random,batch-061702,57,26.0,25,92.0,250,0.368
random,batch-061702,58,27.0,25,125.0,250,0.5
random,batch-061702,60,29.0,25,125.0,250,0.5
random,batch-061702,61,29.0,25,125.0,250,0.5
random,batch-061702,62,30.0,25,121.0,250,0.484
random,batch-061702,65,30.0,25,129.0,250,0.516
random,batch-0618,1,1.0,25,99.0,250,0.396
random,batch-0618,3,4.0,25,114.0,250,0.456
random,batch-0618,4,1.0,25,81.0,250,0.324
random,batch-0618,5,2.0,25,57.0,250,0.228
random,batch-0618,6,2.0,25,93.0,250,0.372
random,batch-0618,7,3.0,25,54.0,250,0.216
random,batch-0618,9,3.0,25,56.0,250,0.224
random,batch-0618,10,4.0,25,116.0,250,0.464
