treatment,round_index,n_rounds,n_rejected,rejection_rate
constant,1,62,16,0.25806451612903225
constant,2,62,9,0.14516129032258066
constant,3,62,15,0.24193548387096775
constant,4,62,13,0.20967741935483872
constant,5,62,12,0.1935483870967742
constant,6,62,13,0.20967741935483872
constant,7,62,11,0.1774193548387097
constant,8,62,11,0.1774193548387097
constant,9,62,9,0.14516129032258066
constant,10,62,6,0.0967741935483871
constant,11,62,8,0.12903225806451613
constant,12,62,9,0.14516129032258066
constant,13,62,13,0.20967741935483872
constant,14,62,6,0.0967741935483871
constant,15,62,6,0.0967741935483871
constant,16,62,8,0.12903225806451613
constant,17,62,9,0.14516129032258066
constant,18,62,7,0.11290322580645161
constant,19,62,5,0.08064516129032258
constant,20,62,8,0.12903225806451613
constant,21,62,7,0.11290322580645161
constant,22,62,9,0.14516129032258066
constant,23,62,5,0.08064516129032258
constant,24,62,4,0.06451612903225806
constant,25,62,7,0.11290322580645161
random,1,55,8,0.14545454545454545
random,2,55,4,0.07272727272727272
random,3,55,7,0.12727272727272726
random,4,55,7,0.12727272727272726
random,5,55,2,0.03636363636363636
random,6,55,7,0.12727272727272726
random,7,55,5,0.09090909090909091
random,8,55,3,0.05454545454545454
random,9,55,7,0.12727272727272726
random,10,55,7,0.12727272727272726
random,11,55,12,0.21818181818181817
random,12,55,7,0.12727272727272726
random,13,55,5,0.09090909090909091
random,14,55,5,0.09090909090909091
random,15,55,7,0.12727272727272726
random,16,55,6,0.10909090909090909
random,17,55,6,0.10909090909090909
random,18,55,7,0.12727272727272726
random,19,55,7,0.12727272727272726
random,20,55,10,0.18181818181818182
random,21,55,7,0.12727272727272726
random,22,55,6,0.10909090909090909
random,23,55,7,0.12727272727272726
random,24,55,7,0.12727272727272726
random,25,55,11,0.2
