treatment,batch_id,participant_id,verbal_strategy,own_benefit,other_benefit,importance_of_fairness,assessment_of_fairness
constant,batch-0616,2,Just try to share evenly. Though I wanted to see at some cases to see if they would accept less.,5,5,5,5
constant,batch-0616,3,I was trying to be fair. At first I didn't know what was going on.,5,5,5,3
constant,batch-0616,4,I first accepted all offers.  I then became more selective and just accepted 4 or 5 coins.,5,5,5,4
constant,batch-0616,5,I tried to make sure the decisions were fair so that we both ended up with the same amount of coins.,5,5,5,4
constant,batch-0616,6,"I understood that I was at the other players mercy but was prepared punish them if they offered anything less than 4 coins. The other person seemed keen on taking advantage of my generosity, though.",5,3,5,2
constant,batch-0616,7,"At first I just wanted to see what the lowest acceptable offer would be, and if it was consistently accepted. I did play around with giving more one round and then less than the acceptable offer, but it did not see to make a difference.",4,3,3,2
constant,batch-0616,8,I decided to split the reward fairly overall. On the last round I gave myself one more coin for not abusing the power throughout the game.,4,4,5,5
constant,batch-0616,9,"I tried to encourage my partner to do an even 50/50 split. If my partner decided to give me anything below 4 coins, I would reject it. Even though it is not as optimal as a 50/50 split, I would accept 4 coins if offered because 4 coins are better than none.",4,4,5,3
constant,batch-0616,10,"I feel like it was a decision of how much can i offer and keep , lottery type odds game , trying to see how much i can gain with outgiving up so much of what i have",4,3,4,4
constant,batch-0616,11,"I accepted every offer because it would benefit myself, but also my partner. My priority would be keeping them happy so they make more fair proposals.",5,5,5,5
constant,batch-0616,12,"If there was an offer below 4 I would not accept, anything else above that number was fine.",4,4,4,4
constant,batch-0616,13,My strategy involved splitting the coins equally to make sure the other person accepted the offer,5,5,5,5
constant,batch-0616,14,I found a low point where the other person was okay accepting and went between that and a two step up in value for the high I was okay with. I then just alternated between the low and the other 2 values,4,5,5,4
constant,batch-0616,15,"Since I was the responder I decided that I would accept the offer as long as it was fair. I saw fairness as an even split of 5 coins each, otherwise if the other participant offered me less I would have rejected the offer.",5,5,5,5
constant,batch-0617,1,I proposed to keep 7 coins at first and the other person accepted my proposal. I tried to maximize my coins and then adjusted as the person rejected my offer.,5,3,2,5
constant,batch-0617,2,"I wanted to keep things equal between us. Once we both got to 5 coins, I decided to keep things equal throughout the rest of the game.",4,4,5,3
constant,batch-0617,3,"I initially started by splitting the amount evenly to see if it would be accepted or rejected, and I also felt that was the right thing to do morally. Since my teammate accepted the offer I continued with that strategy.",5,5,5,5
constant,batch-0617,4,,,,,
constant,batch-0617,5,i accepted all offers that were equa;,5,5,5,5
constant,batch-0617,6,I wanted to maximize the amount of coins so I tried to see what they would accept.,5,4,4,5
constant,batch-0617,7,Split the coins evenly so it is accepted,5,5,5,5
